ang sin(ang)         cos(ang)
--- --------------- -------------------
  0 0.0000000000 1.0000000000
  5 0.0871557427 0.9961946981
 10 0.1736481777 0.9848077530
 15 0.2588190451 0.9659258263
 20 0.3420201433 0.9396926208
 25 0.4226182617 0.9063077870
 30 0.5000000000 0.8660254038
 35 0.5735764364 0.8191520443
 40 0.6427876097 0.7660444431
 45 0.7071067812 0.7071067812
 50 0.7660444431 0.6427876097
 55 0.8191520443 0.5735764364
 60 0.8660254038 0.5000000000
 65 0.9063077870 0.4226182617
 70 0.9396926208 0.3420201433
 75 0.9659258263 0.2588190451
 80 0.9848077530 0.1736481777
 85 0.9961946981 0.0871557427
 90 1.0000000000 0.0000000000
 95 0.9961946981 -0.0871557427
100 0.9848077530 -0.1736481777
105 0.9659258263 -0.2588190451
110 0.9396926208 -0.3420201433
115 0.9063077870 -0.4226182617
120 0.8660254038 -0.5000000000
125 0.8191520443 -0.5735764364
130 0.7660444431 -0.6427876097
135 0.7071067812 -0.7071067812
140 0.6427876097 -0.7660444431
145 0.5735764364 -0.8191520443
150 0.5000000000 -0.8660254038
155 0.4226182617 -0.9063077870
160 0.3420201433 -0.9396926208
165 0.2588190451 -0.9659258263
170 0.1736481777 -0.9848077530
175 0.0871557427 -0.9961946981
180 0.0000000000 -1.0000000000
185 -0.0871557427 -0.9961946981
190 -0.1736481777 -0.9848077530
195 -0.2588190451 -0.9659258263
200 -0.3420201433 -0.9396926208
205 -0.4226182617 -0.9063077870
210 -0.5000000000 -0.8660254038
215 -0.5735764364 -0.8191520443
220 -0.6427876097 -0.7660444431
225 -0.7071067812 -0.7071067812
230 -0.7660444431 -0.6427876097
235 -0.8191520443 -0.5735764364
240 -0.8660254038 -0.5000000000
245 -0.9063077870 -0.4226182617
250 -0.9396926208 -0.3420201433
255 -0.9659258263 -0.2588190451
260 -0.9848077530 -0.1736481777
265 -0.9961946981 -0.0871557427
270 -1.0000000000 -0.0000000000
275 -0.9961946981 0.0871557427
280 -0.9848077530 0.1736481777
285 -0.9659258263 0.2588190451
290 -0.9396926208 0.3420201433
295 -0.9063077870 0.4226182617
300 -0.8660254038 0.5000000000
305 -0.8191520443 0.5735764364
310 -0.7660444431 0.6427876097
315 -0.7071067812 0.7071067812
320 -0.6427876097 0.7660444431
325 -0.5735764364 0.8191520443
330 -0.5000000000 0.8660254038
335 -0.4226182617 0.9063077870
340 -0.3420201433 0.9396926208
345 -0.2588190451 0.9659258263
350 -0.1736481777 0.9848077530
355 -0.0871557427 0.9961946981
